Finished,rank_eg,Q99,Q95,country,mil,sector,ResponseId,activity_1,activity_2,activity_3,activity_4,activity_5,activity_6,activity_7,activity_8,activity_9
TRUE,NA,NA,NA,Tunisia,No,NA,R_QfRVCKZLDqXW0iB,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_1rlBT72GOSfZn66,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Joint-venture with an ${e://Field/country_adj}  private enterprise,From 5 to 9,Tunisia,No,NA,R_O1Gsv9LrMPtScAV,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_1lh1QVXW62ypVzI,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 101 to 250,Tunisia,No,NA,R_1hFIDVdSaEQsrLG,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_2txOKqwxvV40RWA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_26g7LudiuAtjXkT,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_1LXvY9iffCjZNl4,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Unregistered domestic company,From 251 to 500,Tunisia,No,NA,R_2QtVW2iDk3e9krc,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 51 to 100,Tunisia,No,NA,R_3jZEUDXNZM32pD1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,France,NA,NA,R_3FL4WTwY3SyK1SN,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_3dKCFK6qgfJjdC7,0,0,0,66,0,34,0,0,0
TRUE,NA,Registered as a domestic company,From 10 to 19,Tunisia,No,NA,R_4PJz574BHd7i87f,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_2YmIP99cdgAPVh7,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_1JY1uDxsyzpJEqU,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_2wKvytYs3RseTQd,9,26,39,26,0,0,0,0,0
TRUE,NA,NA,NA,Tunisia,No,NA,R_ZwsloC8TkQCZZ85,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_DCwfnfqS4ywhr33,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Democratic Republic of the Congo,NA,NA,R_1eVtPvd1wBpQZ8Z,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Unregistered domestic company,Less than 5,Tunisia,No,NA,R_2aV6uGPUa6XAbKe,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Joint-venture with an ${e://Field/country_adj}  private enterprise,Less than 5,Tunisia,No,NA,R_OwbtCk40t0R1IWt,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_28Mw6nOzridjcQq,1,1,1,1,1,1,1,88,5
TRUE,NA,NA,NA,Tunisia,No,NA,R_31nEHkPRZ9bhz9s,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,100% foreign-owned enterprise,From 51 to 100,Tunisia,No,NA,R_3EoEGyetz6JWUlw,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_usrtNa9ywhYHuj7,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,NA,R_2xOXhCKX2EBwT0v,0,0,0,0,0,0,0,11,89
TRUE,NA,Registered as a domestic company,From 20 to 50,Tunisia,No,NA,R_2wN7cWH4wMcoiqq,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_27HV9a6g2vUX00k,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,France,NA,NA,R_28J8JIwgpmYQwCV,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Israel,NA,NA,R_1gpCzQzlwGl45ZX,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_2PuKlZJdborPpiz,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,100% foreign-owned enterprise,1001 and over,Tunisia,No,NA,R_RxAPLAlKuUOvAWt,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_3mZUZscKdiymiCd,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3GkyD78recNv3up,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,Yes,Manufacturing,R_2b3sydlRxVqVp8k,7,7,10,19,17,11,10,10,9
TRUE,NA,NA,NA,Tunisia,No,NA,R_32XavGFjs5vrzfl,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,NA,NA,R_2pPHTZv696GVJsJ,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,100% foreign-owned enterprise,From 10 to 19,Tunisia,No,NA,R_2Bu1A8UO8HJsZ3C,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,100% foreign-owned enterprise,From 51 to 100,Tunisia,No,NA,R_1PYoOLbaX73aTPb,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_3M9BWcss3AdCmzl,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Algeria,NA,NA,R_3inge8UincUW7BV,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_2ztIKX6kZKsHcZj,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 501 to 1000,Egypt,No,NA,R_3NwSI68Zsm1NtM8,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_aXgAIwnu71cz34l,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,NA,NA,R_125oLKzVjW6dbrp,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Other,From 20 to 50,Tunisia,No,NA,R_2dTltwE27DtWDWm,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_xmBAsHn4U38XxPX,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_AHT1LvLYgcLdIjf,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Brazil,NA,NA,R_Rn5gbwO1iHKHLuV,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_3EQfL3Gaeva3R8l,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 251 to 500,Egypt,No,NA,R_2rOyM6PdNIGYysc,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Turkey,NA,NA,R_BsoCg3qqAitKFj3,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Other,Less than 5,Egypt,No,NA,R_2cAFXtdbpX61UAc,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Major,NA,NA,Egypt,Yes,NA,R_eh5DMSneeFLPNg5,0,0,60,40,0,0,0,0,0
TRUE,NA,NA,NA,Egypt,No,NA,R_9sJ7Z7EQy6bSy4x,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Lieutenant,State-owned enterprise,From 251 to 500,Egypt,Yes,NA,R_3oZ1ytaPfZH3mZm,18,0,0,0,0,0,0,46,36
TRUE,NA,Registered as a domestic company,From 10 to 19,Egypt,No,NA,R_1HdcXwwBlJhPLrz,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,1001 and over,Egypt,No,NA,R_3J94LpAzSjtT5Ih,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,United Arab Emirates,NA,NA,R_W8TPYbAHDyidHB7,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Lieutenant Colonel,NA,NA,Egypt,Yes,NA,R_1rqcoqua5NCQYjY,100,0,0,0,0,0,0,0,0
TRUE,Private,NA,NA,Egypt,Yes,NA,R_21mpKkPycktVqh4,14,27,0,0,0,50,0,9,0
TRUE,Private,Registered as a domestic company,From 20 to 50,Egypt,Yes,NA,R_2dnh8B6uJf5Obpa,0,0,0,0,36,10,0,54,0
TRUE,NA,State-owned enterprise,1001 and over,Tunisia,No,NA,R_271F4RZKlWz1Xqc,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_yDOcqVa2L1ydojf,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 20 to 50,Egypt,No,NA,R_126iuhxsQC1MV3E,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Private,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,1001 and over,Egypt,Yes,NA,R_eKbX2iFvdXQZFsZ,34,66,0,0,0,0,0,0,0
TRUE,NA,NA,NA,Egypt,No,NA,R_1rOi7mj18js87TR,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,1001 and over,Egypt,No,NA,R_2y2ihzmDcmEwozg,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Brazil,NA,NA,R_2YJ3KoOTe1X311C,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_21igUNt4swVBu54,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Corporal,NA,NA,Egypt,Yes,NA,R_3ND850UaXiBB2LF,0,0,0,0,100,0,0,0,0
TRUE,NA,100% foreign-owned enterprise,From 251 to 500,Egypt,No,NA,R_3HC7Wf0doYvhZYS,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Ecuador,NA,NA,R_22sJCqFgH4jLEX6,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,1001 and over,Egypt,No,NA,R_279T5ytfT2hSWuq,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 20 to 50,Egypt,No,NA,R_2TSNcFMAmy5nFMv,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_2wum3N1hytGJodJ,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Corporal,Registered as a domestic company,From 10 to 19,Egypt,Yes,NA,R_vvjNQAgwwJINhHr,30,0,0,0,0,0,0,0,70
TRUE,NA,Registered as a domestic company,From 20 to 50,Egypt,Yes,NA,R_BLYZEZLxUPmeqc1,18,0,0,0,0,0,0,0,82
TRUE,NA,NA,NA,Tunisia,No,NA,R_2PpXbMqwi1ZYRPV,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,State-owned enterprise,1001 and over,Egypt,No,NA,R_2OTuMHmQIabd2Kw,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Other,From 5 to 9,Egypt,No,NA,R_3Ed28pvmKDmPdi1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_28CCQxqQ3OjJq5z,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,NA,NA,R_79Wh1HL6IuvinGV,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_2CWJFza6NTHGdU1,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Corporal,Joint-venture with an ${e://Field/country_adj}  private enterprise,From 251 to 500,Egypt,Yes,NA,R_Ab75FUpwWmVr8w9,22,55,14,0,0,0,0,0,9
TRUE,NA,State-owned enterprise,1001 and over,Egypt,Yes,NA,R_RCs0eszFxlBnKJb,6,2,13,6,7,6,0,44,16
TRUE,Private,NA,NA,Egypt,Yes,NA,R_O9C5jaQhI175kqt,28,55,0,0,17,0,0,0,0
TRUE,NA,NA,NA,Angola,NA,NA,R_2Si4VJRatJBDnA4,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_1hJPqRxgFEfpURt,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Private,NA,NA,Egypt,Yes,NA,R_3EhVO2woS7qOdCi,0,0,0,0,0,0,0,0,100
TRUE,NA,NA,NA,Egypt,No,NA,R_3si76q5F6z0x7jL,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Russian Federation,NA,NA,R_1mOX8LNkLJAEvkO,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Brigadier,State-owned enterprise,1001 and over,Egypt,Yes,NA,R_1mx6JFui0jjcG5L,16,29,24,0,0,10,0,7,14
TRUE,NA,NA,NA,Egypt,No,NA,R_vvqhM6aqa2BO7Ch,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_3NURHyLAvirmD52,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_1H68f52eZXgBhDE,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,Registered as a domestic company,From 20 to 50,Egypt,No,NA,R_7NWUbl8tFhKYa6B,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,Sergeant,NA,NA,Egypt,Yes,NA,R_1DG9D4mYLn7tR7b,99,0,1,0,0,0,0,0,0
TRUE,Staff Sergeant,State-owned enterprise,1001 and over,Egypt,Yes,NA,R_9ER39P6MTunWdmV,35,21,0,0,0,0,0,0,44
TRUE,NA,Registered as a domestic company,From 501 to 1000,Egypt,Yes,Information and communication,R_1Fys7qs62MULAOU,54,0,0,0,0,0,46,0,0
TRUE,NA,NA,NA,Egypt,No,NA,R_1LAwIWPwgpRVBOY,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Libyan Arab Jamahiriya,NA,NA,R_2RTUwt30PgQdU6C,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Algeria,NA,NA,R_3h3o0RgW1jUuNAC,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Egypt,No,NA,R_1cXP0of05ryH7cr,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRUE,NA,NA,NA,Tunisia,No,NA,R_1gngzM1LXWUxThA,NA,NA,NA,NA,NA,NA,NA,NA,NA
