Number,Company Name,Year,Revenue,Source,Discrepancy,Classement having discrepancy,Notes,Conglomerate,Public
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,STE NOUR DISTRIBUTION- SND,2014,19272,2016,NA,NA,NA,0,0
NA,NA,2013,18561,2016,NA,NA,NA,NA,NA
NA,NA,2012,13908,2015,NA,NA,NA,NA,NA
NA,NA,2011,12077,2014,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
286,STECOM,2014,19070,2016,NA,NA,NA,0,NA
NA,NA,2013,20668,2016,NA,NA,NA,NA,NA
NA,NA,2012,19083,2015,20123,2014,NA,NA,NA
NA,NA,2011,15491,2014,NA,NA,NA,NA,NA
NA,NA,2010,20679,2011,NA,NA,NA,NA,NA
NA,NA,2009,22404,2011,NA,NA,NA,NA,NA
NA,NA,2008,24156,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
287,CARTONNERIE TUNISIENNE,2014,18916,2016,NA,NA,NA,0,0
NA,NA,2013,18118,2016,NA,NA,NA,NA,NA
NA,NA,2012,15742,2015,NA,NA,NA,NA,NA
NA,NA,2011,19920,2012,NA,NA,NA,NA,NA
NA,NA,2010,19900,2012,NA,NA,NA,NA,NA
NA,NA,2009,16700,2010,NA,NA,NA,NA,NA
NA,NA,2008,19100,2010,NA,NA,NA,NA,NA
NA,NA,2007,18735,2008,NA,NA,NA,NA,NA
NA,NA,2006,16819,2008,NA,NA,NA,NA,NA
289,MAGHREB INDUSTRIE PLASTIQUE- MAGRIPLAST,2014,18200,2016,NA,NA,NA,0,1
NA,NA,2013,17200,2016,14599,2015,NA,NA,NA
NA,NA,2012,15972,2015,NA,NA,NA,NA,NA
NA,NA,2011,16058,2012,NA,NA,NA,NA,NA
NA,NA,2010,12762,2012,NA,NA,NA,NA,NA
NA,NA,2009,10434,2010,NA,NA,NA,NA,NA
NA,NA,2008,7129,2010,8643,2009,NA,NA,NA
NA,NA,2007,8606,2009,8527,2008,NA,NA,NA
NA,NA,2006,7051,2008,NA,NA,NA,NA,NA
290,PFIZER TUNISIE,2014,18035,2016,NA,NA,NA,0,0
NA,NA,2013,23708,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,16896,2011,NA,NA,NA,NA,NA
NA,NA,2009,15971,2011,NA,NA,NA,NA,NA
NA,NA,2008,16459,2010,NA,NA,NA,NA,NA
NA,NA,2007,8000,2008,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
291,STETNNECOLLECTECEREALES-STCC (GROUPE HACHICHA),2014,18000,2016,NA,NA,NA,1,0
NA,NA,2013,7240,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
292,CALEMBO,2014,18000,2016,NA,NA,NA,0,0
NA,NA,2013,17000,2016,13000,2015,NA,NA,NA
NA,NA,2012,12800,2015,NA,NA,NA,NA,NA
NA,NA,2011,14000,2012,NA,NA,NA,NA,NA
NA,NA,2010,13500,2012,NA,NA,NA,NA,NA
NA,NA,2009,13000,2010,NA,NA,NA,NA,NA
NA,NA,2008,14000,2010,NA,NA,NA,NA,NA
NA,NA,2007,13555,2008,NA,NA,NA,NA,NA
NA,NA,2006,20099,2008,NA,NA,NA,NA,NA
295,COMPAGNIE FROMAGERE (GROUPE DELICE),2014,17568,2016,NA,NA,NA,1,1
NA,NA,2013,13871,2016,NA,NA,NA,NA,NA
NA,NA,2012,16700,2015,NA,NA,NA,NA,NA
NA,NA,2011,6634,2014,NA,NA,NA,NA,NA
NA,NA,2010,4553,2012,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
297,SERVITRADE,2014,17441,2016,NA,NA,NA,0,0
NA,NA,2013,14646,2016,NA,NA,NA,NA,NA
NA,NA,2012,13300,2015,NA,NA,NA,NA,NA
NA,NA,2011,10500,2014,NA,NA,NA,NA,NA
NA,NA,2010,8723,2011,NA,NA,NA,NA,NA
NA,NA,2009,5947,2011,NA,NA,NA,NA,NA
NA,NA,2008,3918,2010,3000,2009,NA,NA,NA
NA,NA,2007,1200,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
299,AB PROMOTION (GROUPE ABDENNADHER),2014,17333,2016,NA,NA,NA,1,NA
NA,NA,2013,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
303,SOCIETE AL KHOUTAF,2014,16665,2016,NA,NA,NA,0,1
NA,NA,2013,17960,2016,15810,2015,NA,NA,NA
NA,NA,2012,19759,2015,NA,NA,NA,NA,NA
NA,NA,2011,17582,2014,NA,NA,NA,NA,NA
NA,NA,2010,13142,2011,NA,NA,NA,NA,NA
NA,NA,2009,14134,2011,NA,NA,NA,NA,NA
NA,NA,2008,12993,2010,NA,NA,NA,NA,NA
NA,NA,2007,11400,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,No entry,NA,NA
304,STE EMBALLAGE SAHEL,2014,16607,2016,NA,NA,NA,0,0
NA,NA,2013,14295,2016,NA,NA,NA,NA,NA
NA,NA,2012,14716,2015,NA,NA,NA,NA,NA
NA,NA,2011,16454,2014,NA,NA,NA,NA,NA
NA,NA,2010,15231,2011,NA,NA,NA,NA,NA
NA,NA,2009,12721,2011,NA,NA,NA,NA,NA
NA,NA,2008,14897,2010,NA,NA,NA,NA,NA
NA,NA,2007,13540,2008,NA,NA,NA,NA,NA
NA,NA,2006,12834,2008,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,SEPT MOLKA (GROUPE MEUBLATEX ET EL MOURADI),2014,16290,2016,NA,NA,NA,1,1
NA,NA,2013,NA,NA,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
309,GROUPE MSF-ROTOPLAST,2014,16207,2016,NA,NA,NA,0,NA
NA,NA,2013,27065,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,FOCUS,2014,15591,2016,NA,NA,NA,0,0
NA,NA,2013,13415,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
314,PIRECO,2014,16000,2016,NA,NA,NA,0,0
NA,NA,2013,61000,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
315,PLASTIC SFAX,2014,15500,2016,NA,NA,NA,0,0
NA,NA,2013,14000,2016,NA,NA,NA,NA,NA
NA,NA,2012,10110,2015,NA,NA,NA,NA,NA
NA,NA,2011,8425,2012,NA,NA,NA,NA,NA
NA,NA,2010,7350,2012,9200,2011,NA,NA,NA
NA,NA,2009,7500,2011,3408,2010,NA,NA,NA
NA,NA,2008,2976,2010,NA,NA,NA,NA,NA
NA,NA,2007,2278,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
316,AMADEUS TUNISIE,2014,15014,2016,NA,NA,NA,0,1
NA,NA,2013,13117,2016,NA,NA,NA,NA,NA
NA,NA,2012,13500,2015,NA,NA,NA,NA,NA
NA,NA,2011,11016,2014,NA,NA,NA,NA,NA
NA,NA,2010,10751,2011,NA,NA,NA,NA,NA
NA,NA,2009,9123,2011,NA,NA,NA,NA,NA
NA,NA,2008,6859,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
318,FILATURE ITALIENNE,2014,14488,2016,NA,NA,NA,0,0
NA,NA,2013,21342,2016,NA,NA,NA,NA,NA
NA,NA,2012,24598,2015,NA,NA,NA,NA,NA
NA,NA,2011,23851,2012,NA,NA,NA,NA,NA
NA,NA,2010,19437,2012,NA,NA,NA,NA,NA
NA,NA,2009,22500,2010,NA,NA,NA,NA,NA
NA,NA,2008,29700,2010,NA,NA,NA,NA,NA
NA,NA,2007,21095,2008,NA,NA,NA,NA,NA
NA,NA,2006,16749,2008,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,ISALYS,2014,13750,2016,NA,NA,NA,0,0
NA,NA,2013,14059,2016,NA,NA,NA,NA,NA
NA,NA,2012,10891,2015,NA,NA,NA,NA,NA
NA,NA,2011,11200,2014,11400,2012,NA,NA,NA
NA,NA,2010,8615,2012,NA,NA,NA,NA,NA
NA,NA,2009,5318,2010,NA,NA,NA,NA,NA
NA,NA,2008,4753,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,AMC ERNST & YOUNG,2014,13500,2016,NA,NA,NA,0,0
NA,NA,2013,11700,2016,NA,NA,NA,NA,NA
NA,NA,2012,10400,2015,NA,NA,NA,NA,NA
NA,NA,2011,9300,2014,NA,NA,NA,NA,NA
NA,NA,2010,9300,2011,NA,NA,NA,NA,NA
NA,NA,2009,8400,2011,NA,NA,NA,NA,NA
NA,NA,2008,9200,2010,NA,NA,NA,NA,NA
NA,NA,2007,6970,2008,NA,NA,NA,NA,NA
NA,NA,2006,5418,2008,NA,NA,NA,NA,NA
327,TUNIMA SARL CHAUSSURES- TUNIMAC,2014,13350,2016,NA,NA,NA,0,0
NA,NA,2013,13300,2016,13220,2015,NA,NA,NA
NA,NA,2012,11677,2015,NA,NA,NA,NA,NA
NA,NA,2011,12571,2014,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,9607,2010,NA,NA,NA,NA,NA
NA,NA,2008,9132,2010,NA,NA,NA,NA,NA
NA,NA,2007,8286,2008,NA,NA,NA,NA,NA
NA,NA,2006,7265,2008,NA,NA,NA,NA,NA
328,STE TNNE CONDITIONNEMENT- STC,2014,13345,2016,NA,NA,NA,0,1
NA,NA,2013,12601,2016,NA,NA,NA,NA,NA
NA,NA,2012,12858,2015,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
329,CONSORTIUM IMMOBILIERE MAGHREBINE,2014,13343,2016,NA,NA,NA,0,0
NA,NA,2013,2601,2016,NA,NA,NA,NA,NA
NA,NA,2012,10913,2015,NA,NA,NA,NA,NA
NA,NA,2011,13744,2014,NA,NA,NA,NA,NA
NA,NA,2010,10025,2011,NA,NA,NA,NA,NA
NA,NA,2009,4960,2011,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
330,GROUPE HAKIM,2014,13285,2016,NA,NA,NA,0,0
NA,NA,2013,11238,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
333,HHW TRADING (GROUPE HACHICHA),2014,12745,2016,NA,NA,NA,1,1
NA,NA,2013,10449,2016,NA,NA,NA,NA,NA
NA,NA,2012,19151,2015,NA,NA,NA,NA,NA
NA,NA,2011,27869,2014,NA,NA,NA,NA,NA
NA,NA,2010,24000,2011,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,CENTRALE DISTRIBUTION AUTOMOBILE- CDA,2014,12517,2016,NA,NA,NA,0,0
NA,NA,2013,10554,2016,NA,NA,NA,NA,NA
NA,NA,2012,9776,2015,NA,NA,NA,NA,NA
NA,NA,2011,8714,2014,NA,NA,NA,NA,NA
NA,NA,2010,9051,2011,NA,NA,NA,NA,NA
NA,NA,2009,9866,2011,NA,NA,NA,NA,NA
NA,NA,2008,8573,2010,NA,NA,NA,NA,NA
NA,NA,2007,7729,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
336,ALMIA REFRIGERATION,2014,12374,2016,NA,NA,NA,0,1
NA,NA,2013,11929,2016,NA,NA,NA,NA,NA
NA,NA,2012,11551,2015,NA,NA,NA,NA,NA
NA,NA,2011,14365,2014,NA,NA,NA,NA,NA
NA,NA,2010,17758,2011,NA,NA,NA,NA,NA
NA,NA,2009,21736,2011,NA,NA,NA,NA,NA
NA,NA,2008,17531,2010,NA,NA,NA,NA,NA
NA,NA,2007,11112,2008,NA,NA,NA,NA,NA
NA,NA,2006,10335,2008,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,STE HOTMOURADIGOLF-MOURADIPALACE (GROUPE MEUBLATEX ET EL MOURADI),2014,12192,2016,NA,NA,NA,1,0
NA,NA,2013,11694,2016,NA,NA,NA,NA,NA
NA,NA,2012,10504,2015,NA,NA,NA,NA,NA
NA,NA,2011,8275,2014,NA,NA,NA,NA,NA
NA,NA,2010,10743,2011,NA,NA,NA,NA,NA
NA,NA,2009,11146,2011,11146,2010,NA,NA,NA
NA,NA,2008,15137,2010,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,No entry,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,CENTRALE TNNE INDUSTRIE PEINTURE- CETIP,2014,12000,2016,NA,NA,NA,0,0
NA,NA,2013,13000,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,CIE TNNE DES PLASTIQUES- COTUPLAST,2014,11537,2016,NA,NA,NA,0,1
NA,NA,2013,5981,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
344,STE INDUSTRIELLE TRANSFORMATION-SIT,2014,11302,2016,NA,NA,NA,0,0
NA,NA,2013,11032,2016,NA,NA,NA,NA,NA
NA,NA,2012,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,NA,NA,NA,NA
NA,NA,2007,NA,NA,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,LES CARRELAGES CHOISIS GABES- CCG,2014,11053,2016,NA,NA,NA,0,1
NA,NA,2013,10455,2016,10449,2015,NA,NA,NA
NA,NA,2012,9209,2015,NA,NA,NA,NA,NA
NA,NA,2011,8043,2014,NA,NA,NA,NA,NA
NA,NA,2010,8125,2011,NA,NA,NA,NA,NA
NA,NA,2009,8152,2011,NA,NA,NA,NA,NA
NA,NA,2008,7488,2010,NA,NA,NA,NA,NA
NA,NA,2007,8007,2009,NA,NA,NA,NA,NA
NA,NA,2006,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,OVER SEAS TRADING AND CONTRACTING- OSTC,2014,11002,2016,NA,NA,NA,0,NA
NA,NA,2013,13924,2016,NA,NA,NA,NA,NA
NA,NA,2012,27191,2015,NA,NA,NA,NA,NA
NA,NA,2011,23092,2012,NA,NA,NA,NA,NA
