Q95,Q99,Q101_1,country,Finished
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,Other,2,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 501 to 1000,Other,10,Egypt,TRUE
1001 and over,State-owned enterprise,8,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,Registered as a domestic company,10,Egypt,TRUE
NA,NA,NA,Cyprus,TRUE
NA,NA,NA,Egypt,TRUE
From 251 to 500,Other,8,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 101 to 250,Registered as a domestic company,5,Egypt,TRUE
NA,NA,NA,Angola,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 101 to 250,State-owned enterprise,6,Tunisia,TRUE
From 251 to 500,100% foreign-owned enterprise,7,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,Registered as a domestic company,5,Tunisia,TRUE
From 51 to 100,Registered as a domestic company,7,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Angola,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Central African Republic,TRUE
From 101 to 250,Registered as a domestic company,7,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,State-owned enterprise,3,Tunisia,TRUE
NA,NA,NA,Antigua and Barbuda,TRUE
NA,NA,NA,Kuwait,TRUE
From 10 to 19,100% foreign-owned enterprise,1,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj}  private enterprise,7,Egypt,TRUE
From 51 to 100,100% foreign-owned enterprise,5,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
From 10 to 19,Registered as a domestic company,NA,Egypt,TRUE
From 51 to 100,Other,4,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
From 10 to 19,State-owned enterprise,8,Egypt,TRUE
NA,NA,NA,France,TRUE
NA,NA,NA,Egypt,TRUE
From 101 to 250,Registered as a domestic company,10,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,State-owned enterprise,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,State-owned enterprise,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 251 to 500,Registered as a domestic company,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Israel,TRUE
Less than 5,Registered as a domestic company,9,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Israel,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,Registered as a domestic company,6,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Algeria,TRUE
NA,NA,NA,Syrian Arab Republic,TRUE
NA,NA,NA,Egypt,TRUE
From 501 to 1000,100% foreign-owned enterprise,2,Tunisia,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,10,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 251 to 500,Registered as a domestic company,10,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,100% foreign-owned enterprise,10,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Syrian Arab Republic,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Jordan,TRUE
NA,NA,NA,Tunisia,TRUE
1001 and over,100% foreign-owned enterprise,8,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
1001 and over,Registered as a domestic company,10,Egypt,TRUE
From 10 to 19,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,5,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 5 to 9,Unregistered domestic company,7,Tunisia,TRUE
Less than 5,Registered as a domestic company,7,Tunisia,TRUE
1001 and over,Registered as a domestic company,5,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 51 to 100,Registered as a domestic company,7,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Syrian Arab Republic,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Madagascar,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Algeria,TRUE
NA,NA,NA,Zimbabwe,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Morocco,TRUE
NA,NA,NA,Syrian Arab Republic,TRUE
1001 and over,NA,NA,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,"Iran, Islamic Republic of...",TRUE
From 251 to 500,Registered as a domestic company,2,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 101 to 250,State-owned enterprise,NA,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
1001 and over,Registered as a domestic company,1,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Algeria,TRUE
From 251 to 500,Unregistered domestic company,2,Egypt,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,4,Egypt,TRUE
1001 and over,Other,6,Egypt,TRUE
1001 and over,Joint-venture with an ${e://Field/country_adj}  private enterprise,9,Egypt,TRUE
From 5 to 9,Registered as a domestic company,5,Egypt,TRUE
From 251 to 500,Registered as a domestic company,10,Tunisia,TRUE
NA,NA,NA,Egypt,TRUE
From 51 to 100,Joint-venture with an ${e://Field/country_adj} state-owned enterprise,1,Egypt,TRUE
From 251 to 500,Registered as a domestic company,5,Egypt,TRUE
1001 and over,State-owned enterprise,7,Tunisia,TRUE
NA,NA,NA,Tunisia,TRUE
From 251 to 500,NA,10,Tunisia,TRUE
Less than 5,Registered as a domestic company,5,Egypt,TRUE
NA,NA,NA,Israel,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 10 to 19,Other,9,Egypt,TRUE
From 101 to 250,State-owned enterprise,7,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 10 to 19,Other,4,Egypt,TRUE
From 251 to 500,Registered as a domestic company,1,Egypt,TRUE
From 51 to 100,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 20 to 50,State-owned enterprise,10,Egypt,TRUE
From 20 to 50,State-owned enterprise,7,Egypt,TRUE
NA,NA,NA,Israel,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
From 20 to 50,Registered as a domestic company,9,Egypt,TRUE
NA,NA,NA,El Salvador,TRUE
NA,NA,NA,Libyan Arab Jamahiriya,TRUE
NA,NA,NA,Libyan Arab Jamahiriya,TRUE
NA,NA,NA,Tunisia,TRUE
NA,NA,NA,Bahrain,TRUE
NA,NA,NA,Egypt,TRUE
NA,NA,NA,Egypt,TRUE
